X,topo,data_AFT,data_AFT_1SE,data_Zhe,data_Zhe_1SE,data_ArAr,data_ArAr_1SE,AFT_model,Zhe_model,Ar_Ar_model
441,4.678,,,,,,,53.2199,49.2451,50
442,4.678,,,,,,,51.5588,49.2451,50
443,4.678,,,,,,,51.5588,49.2451,50
444,4.678,,,,,,,53.2199,49.2451,50
445,4.678,,,,,,,53.2199,49.2451,50
446,4.678,,,,,,,53.2199,49.2451,50
447,4.678,,,,,,,51.5588,49.2451,50
448,4.678,,,,,,,51.5588,49.2451,50
449,4.678,,,,,,,53.2199,49.2451,50
450,4.678,,,,,,,53.2199,49.2451,50
451,4.678,,,,,,,51.5588,49.2451,50
452,4.678,,,,,,,51.5588,49.2451,50
453,4.678,,,,,,,53.2199,49.2451,50
454,4.678,,,,,,,53.2199,49.2451,50
455,4.678,,,,,,,53.2199,49.2451,50
456,4.678,,,,,,,51.5588,49.2451,50
457,4.678,,,,,,,51.5588,49.2451,50
458,4.678,,,,,,,53.2199,49.2451,50
459,4.678,,,,,,,53.2199,49.2451,50
460,4.678,,,,,,,51.5588,49.2451,50
461,4.678,,,,,,,51.5588,49.2451,50
462,4.678,,,,,,,53.2199,49.2451,50
463,4.678,,,,,,,53.2199,49.2451,50
464,4.678,,,,,,,51.5588,49.2451,50
465,4.678,,,,,,,53.2199,49.2451,50
466,4.678,,,,,,,51.5588,49.2451,50
467,4.678,,,,,,,51.5588,49.2451,50
468,4.678,,,,,,,53.2199,49.2451,50
469,4.678,,,,,,,53.2199,49.2451,50
470,4.678,,,,,,,51.5588,49.2451,50
471,4.678,,,,,,,51.5588,49.2451,50
472,4.678,,,,,,,53.2199,49.2451,50
473,4.678,,,,,,,53.2199,49.2451,50
474,4.678,,,,,,,51.5588,49.2451,50
475,4.678,,,,,,,51.5588,49.2451,50
476,4.678,,,,,,,53.2199,49.2451,50
477,4.678,,,,,,,53.2199,49.2451,50
